11,161883398286191,-0.2474,-0.11957,-0.422149,0.863878,0.0
10,161883398286191,-0.84935117,-0.26499033,0.67642593
4,161882940263692,-0.0793622,-0.043675844,0.06897587
11,161883414053744,-0.247091,-0.120396,-0.421617,0.864111,0.0
10,161883414053744,-0.9856522,0.036566496,0.70125866
4,161882945927754,-0.07483483,-0.046339005,0.06977482
4,161882948928848,-0.07483483,-0.046339005,0.06977482
11,161883437065983,-0.245629,-0.121989,-0.420883,0.864662,0.0
10,161883437065983,-1.0270731,0.0341506,0.56062794
4,161882957358848,-0.0743022,-0.049002163,0.07137272
11,161883449816348,-0.244119,-0.122956,-0.421134,0.86483,0.0
10,161883449816348,-1.032615,7.596016E-4,0.55076885
4,161882963542442,-0.077231675,-0.052464273,0.073236935
11,161883464701400,-0.243531,-0.123232,-0.421314,0.86487,0.0
10,161883464701400,-1.033396,-0.0117378235,0.5464773
10,161883475529316,-1.0330527,-0.021525145,0.5426655
4,161882972055150,-0.091080114,-0.05539375,0.079095885
11,161883475529316,-0.242719,-0.12331,-0.421685,0.864906,0.0
11,161883502811869,-0.243092,-0.122815,-0.422422,0.864512,0.0
4,161882979119317,-0.10173275,-0.05566007,0.080960095
11,161883513911608,-0.243693,-0.122215,-0.422929,0.86418,0.0
10,161883513911608,-0.9301746,0.123925924,0.6173506
4,161882989777910,-0.15659387,-0.056991648,0.09667275
4,161882982839473,-0.15659387,-0.056991648,0.09667275
11,161883524549994,-0.244418,-0.121491,-0.423509,0.863793,0.0
10,161883524549994,-0.9257753,0.1389823,0.62083054
4,161882994019733,-0.15659387,-0.056991648,0.09667275
11,161883537800358,-0.245084,-0.120717,-0.424097,0.863424,0.0
10,161883537800358,-0.99436736,0.07452035,0.67861366
4,161882999557806,-0.21012342,-0.057790596,0.112918034
11,161883551249681,-0.245853,-0.118967,-0.426384,0.862321,0.0
10,161883551249681,-0.979583,0.09144449,0.67779255
4,161883006638327,-0.24341293,-0.061252706,0.12357068
11,161883562149160,-0.245549,-0.118526,-0.426707,0.862309,0.0
10,161883562149160,-1.2655962,0.07481694,0.81406593
10,161883574510410,-1.2560279,0.06582403,0.80602455
11,161883589334525,-0.242913,-0.117714,-0.428127,0.862463,0.0
4,161883012390515,-0.31984565,-0.06551377,0.14221281
10,161883589334525,-1.3805754,0.09434104,0.82575035
4,161883020777442,-0.36671728,-0.06578008,0.14940333
11,161883601914785,-0.24181,-0.11747,-0.429338,0.862204,0.0
10,161883601914785,-1.219104,0.2460959,0.61781406
4,161883028426348,-0.41385525,-0.06524745,0.15765914
11,161883615494941,-0.240559,-0.11762,-0.429218,0.862593,0.0
11,161883628070046,-0.239717,-0.117238,-0.430809,0.862086,0.0
10,161883615494941,-1.2065952,0.3044865,0.42459774
4,161883037148483,-0.5251754,-0.05965481,0.17496969
11,161883642001868,-0.238387,-0.116547,-0.43246,0.861722,0.0
10,161883642001868,-1.180984,0.19377542,0.45684147
4,161883042661087,-0.5885586,-0.05672533,0.180296
11,161883653635306,-0.237596,-0.116424,-0.432313,0.862031,0.0
11,161883670115254,-0.236023,-0.115416,-0.434512,0.861493,0.0
10,161883670115254,-1.2896614,0.34445667,0.6619377
4,161883049790254,-0.7302388,-0.04926848,0.19734024
10,161883682225254,-1.2694771,0.2701788,0.6638355
11,161883695983223,-0.234106,-0.114687,-0.436228,0.86110,161883695983223,-1.2587533,0.2534294,0.6529417
11,161883707888639,-0.232737,-0.114772,-0.435752,0.861847,0.0
10,161883707888639,-1.2476563,0.233392,0.64078903
4,161883072725723,-1.0705907,-0.035153728,0.2263687
11,161883721033066,-0.230482,-0.114048,-0.43795,0.861434,0.0
10,161883721033066,-1.165303,0.44128108,0.21243286
4,161883077490254,-1.1747204,-0.031158986,0.23462449
11,161883732579264,-0.229541,-0.113862,-0.437408,0.861986,0.0
10,161883732579264,-1.1528702,0.4306755,0.2031107
4,161883079833067,-1.2836437,-0.026897928,0.24208134
11,161883747982025,-0.228745,-0.112395,-0.438672,0.861747,0.0
10,161883747982025,-1.1670852,0.29426384,0.3666172
4,161883084833067,-1.3930995,-0.022903185,0.2495382
11,161883759941556,-0.228293,-0.111891,-0.438108,0.86222,0.0
10,161883759941556,-1.0885468,0.26319146,0.57103825
10,161883774785098,-1.0750477,0.26236463,0.5646801
4,161883090912546,-1.5970978,-0.024234766,0.2692456
4,161883098107806,-1.5970978,-0.024234766,0.2692456
11,161883783176608,-0.227589,-0.110486,-0.438848,0.86221,0.0
10,161883783176608,-0.9877987,0.39099765,0.46045303
4,161883104050671,-1.6783241,-0.02743056,0.28336033
11,161883800419212,-0.227091,-0.109291,-0.438734,0.862552,0.0
10,161883800419212,-0.7767818,0.078594685,0.50353336
4,161883107588535,-1.7390442,-0.033023197,0.2972088
11,161883812835045,-0.226835,-0.108457,-0.439613,0.862277,0.0
10,161883812835045,-0.76379514,0.07834697,0.4976921
10,161883826260254,-0.83066344,0.15918756,0.4423914
4,161883112588535,-1.8026937,-0.044208474,0.32996565
4,161883117600723,-1.8026937,-0.044208474,0.32996565
11,161883840392858,-0.225523,-0.106694,-0.438853,0.863228,0.0
4,161883123527962,-1.8117485,-0.04660532,0.34807515
11,161883853427806,-0.225582,-0.105931,-0.43823,0.863623,0.0
10,161883840392858,-0.6734307,0.19071579,0.38736725
10,161883853427806,-0.6734307,0.19071579,0.38736725
4,161883129901192,-1.8013622,-0.052996907,0.38029942
11,161883863574160,-0.226043,-0.104654,-0.439051,0.863241,0.0
10,161883863574160,-0.7687516,-0.15061474,0.5346165
4,161883136433014,-1.7853832,-0.05912218,0.39760995
11,161883880417858,-0.226206,-0.102814,-0.438572,0.863663,0.0
10,161883880417858,-0.7903998,-0.12438345,0.6291313
4,161883139733952,-1.7595506,-0.06578008,0.41944787
11,161883891783900,-0.225792,-0.102239,-0.437897,0.864182,0.0
10,161883891783900,-0.7631793,-0.017453432,0.6758213
4,161883144707598,-1.7235979,-0.072171666,0.4415521
11,161883905308379,-0.225278,-0.101689,-0.437254,0.864706,0.0
